url,title,news channel,video_id,transcript
https://youtu.be/wgvfVCp0Cfg?si=c3PED2rK69g9doKX,What can be expected from Venezuelan elections,DW news,wgvfVCp0Cfg,", Venezuelans are voting in legislative and regional elections . It 's the first time they 've gone to the polls since last year 's disputed presidential election . Venezuelan President Nicolas Maduro cast his vote in the capital Karacus . Opposition leaders called for a boycott of the vote and a low turnout is expected . This is the first election to be held in the disputed oilrich region of Eskibbo . Eskibbo is internationally recognized as part of neighboring Guyana . [ Music ] We can speak now to DW correspondent Oscar Schlenko who 's normally based in Kurakus but joins me now from Austin , Texas . Oscar , thanks so much for your time . Now , Venezuelan 's opposition says that these elections are a sham . They 're calling for a boycott . So , what are you hearing about how the election day is going ? , from the reports I 'm receiving , the videos posted online , and the accounts of experts , there has been very low turnout to the voting polls . Even in the centers where the government has its strongholds , turnout has n't surpassed 20 % . And that is very low for Venezuelan standards . Some experts are calculating the overall turnout to be between 15 to 19 % , which would be a historical low turnout for this type of elections . And so given what you 've just said , what type of result can be expected from that ? , the result will be favorable for the government . They handpicked their candidates for the regional offices and expect to win even with low turnout . Of course , we are expecting the electoral council to announce a higher turnout than what we are seeing . this low turnout as you said was expected not only because of the lack of trust people have in the system since the last presidential election but there were also several factors that the government made since the voting system that just did n't seem all that fair or free for example they eliminated the QR codes from the ballots which was one of the safeguards the opposition used in the presidential elections last year to prove to the world that they indeed had won the elections let 's talk a bit more about this lack of trust because Nicholas Maduro was essentially accused of stealing the presidential election last July . And given these elections happening now , how much faith do Venezuelans still have in the electoral process ? , not that much . And we can see that in today 's low turnout . trust in the system is not something that worries Maduro 's authoritarian administration because they have already announced that they will do a complete reform to all the electoral laws and system and that will limit who and how voting will take place from now on . Oscar , people are also voting in the region of Esakibbo , but this is internationally recognized as being part of neighboring Guyana , not Venezuela . So what 's going on here ? . , the dispute over the Eskivo is the oldest territorial dispute in history today . the area is controlled by Guana . So , the Venezuelan election of officials is being done in Venezuelan cities and towns close to the border and it has been called by some of the candidates as a symbolic position . However , the designation of a governor and other officials to the National Assembly is intended to put pressure in the dispute and to have a permanent representation in Venezuela 's National Assembly or Congress with the election of these officials today . Thanks so much for that , Oscar . That 's our correspondent Oscar Schlanka there on the Venezuelan elections . Thank you . Thank you ."
https://youtu.be/xdL8ZfhLMkw?si=Wv_uWwDxIttAtLrJ,Iranian filmmaker Jafar Panahi wins Cannes' top prize for revenge thriller,DW news,xdL8ZfhLMkw,"Iranian dissident filmmaker Jaffa Panahi has won the top prize at this year 's can film festival . Panahi was awarded the coveted palm door or golden palm for his revenge thriller . It was just an accident . The winner was chosen by a nine member jury led by Juliet Dino . Kane called for freedom in his country as he accepted the award . And let 's go now to Khan where we find a DW culture correspondent Scott Roxboro . Scott , what convinced the jury ultimately to award the palm door to Panahi ? . I think it was a combination of things . it 's the film itself which is one of his best . It 's as you say , it 's a revenge thriller , but it 's really incredibly political . it 's about a group of political prisoners . who are outside now in Tran and they think they recognize their former torturer on the street . So they kidnap him and then debate whether to kill him or forgive him . So it is a thriller almost Hitchcockian in its suspense but also raises ethical questions of the true meaning of vengeance and justice . the other reason that I think Paneah won the palm door this year is because of the man he is . he is probably the most famous distant director in the world . He 's been a few years ago he was in prison in Iran . He had been under a 20 - year ban on film making and was banned from leaving the country . Those bans were fairly recently lifted and he was able to make this film from outside a prison , but he is really a symbol of artistic pol resistance against authoritarianism . And I think that as much as the film itself was the reason he won . . What else stood out to you in this year 's competition ? , it 's interesting because Khan tends to present itself as a filmmakers festival . a festival that focuses on cinema and not on the politics around the cinema . but this year was a bit different . a lot of the issues that are on everyone 's mind these days , Ukraine , Gaza , they were present here at the festival both in on the screen . There were documentaries and feature films dealing directly with the issues in Ukraine and in Gaza and on the red carpet at the press conferences here where filmmakers referred to these issues which were very outspoken in their political statements , something you really have n't seen here in previous years . the other thing I have to say is this was probably one of the best years in terms of just the quality of cinema on screen . Yafar Panani of course mentioned , but there was a stream of other incredible films , some from quite young filmmakers , which gives hope for the future of cinema . Scott , less than a minute , but I do want to ask you this . I ca n't leave without asking you about the power outage in can . I 've been to that festival before . There are so many logistical issues to deal with , not to mention a lot of consumption going on . Talk to us briefly about the drama this must have caused . , this is the cliffhanger to end the festival yesterday . we had a power outage in the in the morning . apparently as a result of sabotage at power plant outside the city cut the power in the entire city . luckily the pala the center of the festival which is behind me has its own power supply . So that kicked in quite quickly and it was clear from very early on that the festival would go ahead that the ceremony would go ahead . But there were a number of hours where no one could get a co coffee . No one could buy anything with a credit card and people went into a small little panic thinking the world was about to end . But it was very much first world problems and after a couple of hours power was back on and the festival continued as planned . How how can we live without our croissants ? that is Scott Roxboro from can . Many thanks Scott ."
https://youtu.be/dnhygtfZ_Oo?si=vjdGBou2yadYcS7S,How credible are Trump's new tariff threats?,DW news,dnhygtfZ_Oo,"The European Union has responded to Donald Trump 's newest threats on trade . EU Trade Commissioner Maros Stefkovich said mutual respect is needed and not tariffs . The US president had reignited global tensions by threatening to impose a 50 % tariff on imports from the European Union . Trump accuses EU member states of using unfair trade practices . In his view , they even include value added tax and lawsuits against American companies with companies which he calls unjustified . Trump said the EU is running a huge goods trade surplus with America and that negotiations to reduce this are going nowhere . US and European stocks tumbled in response to his remarks . In a statement from the Oval Office , Trump renewed his pressure on European companies to move production to the US . I 'm not looking for a deal . , we 've set the deal . It 's at 50 % . But again , there is no tariff if they build their plant here . Now , if somebody comes in and wants to build a plant here , I can talk to them about a little bit of a delay . With us now is Mika Alda , member of the European Parliament . He belongs to the group of the Conservative European People 's Party and to the Committee on International Trade in the EU 's Parliament . now Mika Trump threatens the EU with tariffs again this time 50 % . What 's your reaction ? of course he loves big words and big numbers and that has been the main challenge . his transactionalism he wants to talk big numbers symbolic wins particularly when it comes to his constituencies his main base . so he wants to have billions in investments what happened during the Gulf trip . He wants to talk that type of talk and with the European Union that is very difficult because Europe is more institutionalist . It is not transactionalist . So things take time and then there 's political constraints as well . So a talking the Trump talk would alienate voters in Europe and that of course is impossible for the commissioners currently . Now let me Donald Trump here . He said our talks with them that 's the EU are going nowhere . is that consistent with the picture that you have gained of the negotiations ? , I understand that talks have been ongoing . the problem is that we do not know who calls the shots in Washington . So , when the commissioner of trade travels to Washington , he talks with relevant counterparties there , but what is actual Trump 's inner circle ? Do we have contact to that ? and does that then necessitate that we start to talk the numbers game about big investments to us . So negotiations have been ongoing but the issue is that I 've been negotiating with the people when we are negotiating with the relevant counterparties . Now Trump has recently spoken a lot about tariffs . He 's introduced them then suspended them again . How credible is he anyway ? , he that 's his style of negotiating and as I said , what he wants is to have big announcements coming from European Union about supporting his way of doing politics and so we have a choice . We we enter into that type of negotiation . So then we have some backbone and we stand our ground and then at the end he usually gives in . So it is also a game of chicken . So both parties and he himself is racing towards the eds in a very speedy manner and he believes that the European Union will give in . although we have to I have to remind that his numbers are not very correct . taking into account the services the balance of trade transatlantically is relatively even . Thank you very much Mika Ala member of the European Parliament . Thank you ."
https://youtu.be/cLPQ_t0L8_I?si=otDkh16YaX9WeHiG,Russia launches missile and drone attack on Kyiv |,DW news,cLPQ_t0L8_I,"Russia and Ukraine have exchanged more prisoners on a second day of a major swap . Each side handed over 307 soldiers a day after exchanging another 390 each . Meanwhile , at least 15 people have been injured in a largecale Russian drone and missile attack focused on the Ukrainian capital Ke . With ceasefire efforts otherwise stalled , Ukraine 's president Vladimir Zilinski said new international sanctions are needed to force Russia to agree to a truce . Ukraine 's air defense system fights to keep Russian missiles at bay after Keev came under heavy attack in the early hours of Saturday . It was one of the largest aerial assaults on the capital since the war began and followed a major prisoner exchange between Russia and Ukraine just hours earlier . Emergency services searched buildings that were hit by drones and missiles and evacuated residents from burning homes . As dawn broke , people in Kev began to inspect the damage . Putin does n't want to end the war . I wish they 'd agree to a ceasefire to bomb people this . Poor children . My three - year - old granddaughter was screaming and scared . War is war , and no one is safe from it here . Our enemy is particularly vicious and immoral . The kids called me at 3 this morning screaming , "" Mom , we were hit . The balcony is on fire . "" Writing on social media , President Zalinski said it had been a tough night for his country and called the attack a fresh demonstration that Vladimir Putin is not serious about bringing an end to his invasion of Ukraine . , I 'm now joined by DW correspondent Rebecca in KE . Rebecca , how serious was this latest attack ? , it was certainly very loud in the capital as you heard in that report . Pretty scary night . I can attest to attest to that . It was a incredibly loud . We were hearing gunshots . That 's the air defense . the working all night . We could hear even the drones in the city where I was . and some of the interceptions as well . Definitely a sleepless night for many people here in the capital as you saw in that report . many spending the night in bomb shelters or in fact in the metro system where many people go during these attacks . It was certainly one of the biggest , not the biggest , but one of the biggest that we 've seen in Kiev in recent weeks and months and definitely a very terrifying night for many here . Of course , Kiev was one of the major targets , but it was n't the only place targeted . And we had President Zalinski saying that there were there were we saw attacks in Nepro in Odessa in Sunumi region just to name a few . So also pointing out really reiterating in his remarks about these attacks that this is just proof that Russia is simply not serious about any ceasefire any peace negotiations . And then on the other hand , we witness and you 've personally witnessed the largest exchange of prisoners and civilians since 2022 . The second phase is now underway . How is that going ? , we 've just been hearing that the second tranch 307 prisoners have now been brought back and they 're in on Ukrainian territory . I should say yesterday we saw 390 and they 're going to hopefully equal tomorrow . drove all goes to plan . We 'll have another 3003 if my mathematics is correct and that will make thou a thousand prisoners . So it 's 1,000 for a thousand that was agreed upon in talks in Istanbul last week . Now it 's certainly a step in the direction but Zilinsky said it was the only concrete thing to come out of the talks and that other than that the talks simply were Vladimir Putin just wasting time buying time . but of course it is a step in the direction as I just said and we were there yesterday . It was a really emotional day as we were watching families reunited and also very bittersweet as we watched a lot of people who were there waiting for some information from their relatives . Let 's take a look at how it unfolded . An agonizing wait ends in tears of joy and relief . 270 soldiers and 120 civilians have returned home . Some spent months , others years in Russian captivity . Many tell us they had no idea they were being released . We were outside . They took pictures of us . Then we were brought with a prison transport vehicle to a plane and then to the Bellarus border control . when we arrived . It was only after the blindfolds were taken off . Only after that we understood that this was an exchange . Many returnees bear wounds of war or are battling poor [ Music ] health . Nadia 's husband ca n't hug her just yet . Infected with tuberculosis , he 's quickly moved into isolation . Thank God he 's home . For many families who waited near the border , there were no joyous reunions . They 're hoping the freed prisoners have news about their relatives . So , you 'll see these people here . They 're anxiously waiting . They 're holding pictures of their loved ones , hoping that the people who have been released will be able to give them some notification . Perhaps they 'd seen them in one of the detention centers . Perhaps , , they 've seen them along the way and they can give some information about their loved ones . This prisoner swap was the only concrete agreement to come out of talks between Russia and Ukraine in Istanbul last week . The return of our people is exactly what we are always working for . And now is definitely the time to put more pressure on Russia so that we achieve not just one result , but everything that is needed . For now , it 's time for these former prisoners to hold their families close and build back the lives they 've missed so much of . I really want to see my son . He 's three years old . I have n't seen him . He was born on February 21st and on the 24th the war began . 37 months is a huge achievement . It 's had a big impact on our relationship . Is Dor alive . Thank you God . [ Music ] Russia 's foreign minister Sege Lavrov says Moscow will give Keeve conditions for what he calls a sustainable long - term and comprehensive peace agreement once the prisoner exchange is concluded . Rebecca , do we have any information about what those conditions might be ? , there apparently the Russians that is drafting a memorandum that they say that they will submit to Ukraine after this prisoner swap has taken place . President Zalinski has said that this memorandum is a mockery to the world . The fact that it 's taking them so long to write it . It 's just simply , , Russia buying more time . We do n't have any information about what 's going to be inside the memorandum . But if we take the words and some of what we 've been hearing that came out of the talks in Istanbul last week and other things that the Russians have said in the past , we can expect that in the memorandum , they 'll be calling for these maximus maximalist demands . And that is of course ordering Ukrainian troops to move away from any territory near where Russia has occupied . that they want to take wholeheartedly those areas even though they have n't occupied the whole areas there . They want Ukraine to give up any aspirations of joining NATO and even the EU . And there are many other , , very severe demands that are really Ukraine 's red lines . So really , whatever is going to come out in that memorandum , it 's unlikely to be something that Ukraine can agree to . And as I said , President Zalinski already just calling it a mockery . The correspondent Rebecca Reta reporting from Keefe in Ukraine . Thank you very much , Rebecca ."
https://youtu.be/ncCjfj6MzbU?si=Qo5uxtFG5-BGg4Lo,Why the fear of Russia is growing in Georgia | Focus on Europe,DW news,ncCjfj6MzbU,"The drive to Ergnati is n't without its dangers . Just past the village , separatist South Oetia begins . The Russian soldiers stationed there have residents here in northern Georgia , living in fear of their neighbor . Leah Kahitzi lives just meters from the checkpoint . She set up a little museum in her basement dedicated to the 2008 war between Georgia and Russia . , I truly see Russia as Georgia 's eternal enemy . Russia is an enemy to me and not a brother . The 72 - year - old was an eyewitness to Russian tanks rolling through Ernati in August 2008 , allegedly to protect citizens of South Oetia . Leah remembers things differently . After the 5 - day war ended , her husband was left dead and her house gutted by fire . Leah does n't want these events to be forgotten because she says the conflict has never really ended . A hybrid war is underway today . Russia is no longer fighting us with bullets . It 's fighting us psychologically . A creeping occupation is taking place which is one of our most painful issues and most importantly the falsification of history . That is why it 's necessary to preserve it . , how are you ? Gordalata is also worried . She lives in Ozogeti in western Georgia . Irma would to see her country join the European Union . She promotes the idea in the villages of her region . Being part of the EU would grant us peace and protect us from the aggressor Russia . We would make economic progress and achieve greater awareness of fundamental rights . But not everyone here shares Irma 's opinion . She frequently hears people claim society in the EU is overly liberal . For instance , when it comes to the LGBTQ plus community , a woman 's a woman , a man 's a man . That 's blowing things out of proportion . I do n't want to send my son abroad to study . He come back wearing a dress . I do n't want that . While these views reflect beliefs held by some , opinions on LGBTQ plus rights in Georgia are diverse and evolving . Irma regularly attends demonstrations that have been going on for months in Tiblisi , a 6 - hour drive away . Here , -minded protesters come together every evening in support of Georgia joining the EU . But the government ended accession talks , shifting to an authoritarian pro - Russian course . They are finding and imprisoning demonstrators , sometimes resorting to violence . Back home , Irma and her fellow residents regularly produce videos for social media and warn viewers about Russia . Until now , the US administration had been supporting civil society groups in Georgia . Ma is concerned about the US 's recent turn towards Russia . Trump 's so - called policy showing loyalty towards Putin puts us in a tricky situation . The geopolitical situation is generally not great for us , especially with such uncertainty . All our hopes are resting on the EU . MA knows her efforts are a thorn in the side of the pro - Russian administration , and that might cost her teaching job at some point , but she would n't even consider giving up . I may often feel hopeless , uncertain , even confused . But I try not to let it show because there are so many people beside me and behind me . And if I break down , I know I bear a responsibility . Leah also viewed the US as Georgia 's protector . What about now ? I do n't Trump 's attitude towards Putin . It should not be loyal , but rather a tough policy because Putin is a recognized murderer . Many of Leah 's neighbors have left Ergniti in recent years , in part because of the Russian troops nearby . For Leah , that 's out of the question . Her husband is buried here . She 's staying and hoping that her dream of Georgia joining the EU will come true . [ Music ]"
https://youtu.be/Zp5W17tmj50?si=xZKLAtD2kSV0N2m5,How people living in border regions feel about Germany’s border controls | Focus on Europe,DW news,Zp5W17tmj50,"Checks at the German Polish border have been in place for almost 2 years and now the new German administration is intensifying its crackdown on irregular immigration upsetting residents . The tension is palpable in Gerlet and Ziggoich . Yakub Pulinski crosses the border almost every day and is frustrated by controls . He comes from Ziggoich but lives with his family in Geritz . Last year he filed a complaint against the controls . [ Music ] These checks make our lives more difficult here along the border . It 's just unpleasant . You feel a criminal who 's done something wrong when all you 're doing is heading home from visiting your grandparents . Family visits , doctor 's appointments . For many here , crossing the border is routine . But each time they enter Germany , they run the risk of being checked or getting stuck in endless traffic jams . Last year , after being stopped several times , Wolinsky had enough and sued Germany . He 's convinced Germany is violating the Shenan agreement , and many are angry . Sunday and Monday on the Polish side , the whole city is one big traffic jam . It 's terrible considering we live in one city here . Our children often go to kindergarten on the German side . what they 're doing , it 's just detrimental to us . It really ca n't go on . The controls are clearly a burden on residents here . But on the German side , some welcome them because asylum seekers who 've already applied in Poland are being turned away . I do n't think it 's such a bad thing when you consider that municipalities and cities have reached their limits . It 's a policy that I personally put up with and hope that it 's not permanent . The mayor of Gerlets understands Po 's anger about the controls , but sees them as necessary to limit migration . He does n't feel concerned about neighborly relations here and hopes for a European solution . Our crossber relationship is n't affected , but of course it 's a bit inconvenient to have extra border obstructions . But now that there 's discussion at the European level , I expect everyone will soon come to an agreement and that such internal border controls will no longer be necessary . Stronger controls at the EU 's external borders could help . They 're also being pushed for in neighboring Poland where the current local measures are under fire . Border controls are a problem for our cooperation with Gerlets . We 're currently preparing a petition in the form of a complaint . We believe that Germany has suspended the Shenhen agreement and that they 're in the wrong . These controls take a very long time . Jakob Folinsky hopes his case at the Dresden Administrative Court will bring the measures to an end in part because he feels singled out . Although the stops are random , he 's been checked very frequently . Here , Polish citizens face suspicion on a daily basis . We 're checked simply because we cross the border . It 's downright unfair . And that 's how we see it in Poland . Despite everything , his lawsuit is not directed against Germany or the European idea . To the contrary , he says it 's meant to help strengthen the Shenan agreement and freedom of travel within the European Union . It 's unclear how long the stricter border controls will last . The police union complains they present a major burden even for the police officers ."
https://youtu.be/Q_saeFtIECY?si=xxhiaemB44u0Yhek,How an Italian shepherd school creates opportunities for women in the countryside | Focus on Europe,DW news,Q_saeFtIECY,"[ Music ] At first , it was n't easy for the herdsmen to accept that a woman wanted to learn this profession . 15 years ago , Gabriella Mikalots changed her life and became a shepherdess . Back then , she was a pioneer in Italy . Before that , she 'd lost her job at a call center . She and other striking workers occupied the company 's premises for 6 months to no avail . By the end , they were living from homegrown food her grandparents once farmed . That marked a turning point for her . My sister and I said to ourselves , "" If our grandparents could live a dignified life on a farm with a few animals , then we should also be able to make something edible out of the earth and a few hens . "" So , that 's how our adventures in agriculture began . She started by bringing her family 's farm , an hour 's drive from Florence , back to life . The fields were overgrown . It was hard [ Music ] work . With a herder , Gabriella Mikolotsi exchanged her first five goats for a few large bottles of wine . Then , as her herd grew , she traded 40 goats for 20 sheep . Still , at first , her male colleagues were n't eager to pass on any valuable tips . [ Music ] These men could n't believe that I wanted to work as a shepherd . I asked them if there was anyone who could teach me this profession or could help me . But no one wanted to . Only after a few years did that change . Today , I 'm known all over as Gabriella the Shepherdes . [ Applause ] Meanwhile , more and more Italian women want to follow in her footsteps . To make it easier for the next generation , a shepherd school opened 3 years ago in Tuscanyany . Katina Blazy has just enrolled there . It was founded by the Festi Castantine National Park . What I about this work is that I can live far removed from civilization , which is growing ever more hectic . I can just sit under a tree and watch the sheep or dogs and really get back to nature . I 've always believed that you need to do what you love without fear of being judged by others . Katarina is 30 . She studied wildlife sciences and has long been tracking the return of wolves and their growing population 's effect on sheep herds in Europe . During this time , she 's gotten to know and love the shepherd 's life . Currently , six women and two men are training to be shepherds here . Over the coming months , they 'll study biology , grazing management , animal husbandry , and agri business management . The students have the support of the Festi Casantine National Parks President Claudia Matsulli . You 're setting off on a path that is very important to us because being a shepherd means safeguarding our landscape , our habitat . that 's at risk of disappearing . She stresses that creating jobs for young people here is just as vital . A generational change is very important for us because the mountain villages of the Aenines are suffering from strong out migration and the population is aging . That makes us fear for the future . on the Shepherd School 's schedule today . Cheesem . This here is fresh sheep 's milk to which we 've added cultures . To make this cheese , it 's good to use a little room that 's kept at a constant temperature of 20 ° C. Because the milk stands here , which is now curdling , as well as the freshlymade cheese . [ Music ] The school ensures that its graduates learn the skills they 'll need to live from their dream job . Experienced shepherdis Gabriella also has some good advice for the new recruits . If you 're prepared to love the land and the animals and do n't see living such a life as making a sacrifice , on the contrary , it makes you happy , then this is the profession for you . Gabriella will soon have lots of budding shepherds and shepherdesses by her side . Unlike those men when she was starting out , she 's happy to help these young people learn the ropes . [ Music ]"
https://youtu.be/AKgSuEGbPW0?si=FroojZ_XQQV-w3r1,Why Iran's nuclear program is so important for the country | DW News,DW news,AKgSuEGbPW0,"Delegations from Iran and the US have finished a fifth round of nuclear talks in Rome mediated by Oman . The Omani foreign minister says the two sides made some progress . He said the proposals will be reviewed by both governments and another round will be scheduled accordingly . US President Donald Trump wants to limit Thyrron 's potential to produce nuclear weapons and Iran is hoping to have sanctions lifted . Trump has threatened military strikes on Iran if a deal is not reached . After the talks , Iranian Foreign Minister Abbasi said there was potential for progress . I hope that in the next one or two sessions , given the improved understanding that now exists regarding the positions of the Islamic Republic , that we can arrive at solutions that allow for progress in the negotiations . We 're not at that point yet , but we are not without hope either . Cornelius Adabar from the German Council of Foreign Relations joins us now from Bon in Germany . So , still no breakthrough , Cornelius , between the US and Iran . What are the stumbling blocks ? , the main stumbling block appears to be the question of uranium enrichment . , which is a dual use capacity . , so you need enriched uranium for a civilian nuclear energy program for a civilian nuclear reactor as much as you can use enriched uranium for a nuclear weapons program . And since this facility resides inside Iran is using it for the one nuclear reactor that it has but it can also be used and the world 's fear is that Iran may use it one day in order to acquire a nuclear weapon . and here the positions are still very much a part . , Iran insists on its to enrich uranium , which is something that other states around the world also do if they have a nuclear program . But the United States , President Trump and some other countries , they insist that Iran must give up this capacity entirely . , and that appears to be a red line for Iran at the moment . So there are dual uses for uranium , of course . Talk specifically about Iran . Why is it so important for Iran to enrich uranium ? , it 's it 's a symbol of national pride , one can say precisely because this is a capacity that Iran acquired over the past decades and it acquired autonomously . so there was some help from Pakistan at the very beginning selling designs for centrifuges to Iran . but other than that because Iran has been sidelined by the international community for decades because it had been put under sanctions especially by the United States it had to acquire this capacity this knowledge this scientific achievement u in adversity so to say and so this is for many Iranians it is and here I 'm speaking about public opinion also it is something that they ought never to give up because it shows the prowess if you of Iranian nuclear scientists regardless of the use that to which it is eventually put . so here when the foreign minister says this is this is a nogo for us , it 's really he 's speaking for many Iranians inside the country . I want to dig a little deeper to something that you just said a moment ago . You said that of course there are other countries that enrich uranium as part of a civilian nuclear energy program but do n't use it for weapons . So why does the US and other countries for that matter as you mentioned not trust Iran ? What is it about Iran that makes people doubtful , skeptical ? . , there 's two things or two sides I would I would to say . for one most obviously the nature of the Islamic Republic is n't really engendering much confidence into other states especially western or democratic states . so it 's the internal repression the awful human rights record . it 's the antagon that the regime is celebrating visav the west . It 's the enmity which is inshed in the Islamic Republic system with Israel . so all these things make Iran a very difficult actor to deal with and just the thought that this regime would have a nuclear weapon is unbearable to many around the world . But at the same time the whole nuclear file as many people call it has also been kept alive if I can say over decades . we did have an agreement with Iran to limit its nuclear program in since 2015 , the nuclear deal as it was called . which is an agreement that President Trump ripped apart in his first term . so we would n't be in today 's situation . Instead , we would be in a in a situation where Iran would have a very limited very much controlled nuclear program , civilian nuclear program with no chance of developing a nuclear weapon anytime soon . would be in this situation had n't the United States torn up the agreement . That 's Cornelius Adabar from the German Council of Foreign Relations . Thanks so much ."
https://youtu.be/engMscAlQA0?si=XyICrxrBkLrRQKb_,Could tariffs really move production back to the US? | DW News,DW news,engMscAlQA0,"Donald Trump has reignited global trade tensions by threatening to impose a 50 % tariff on imports from the European Union . The US president accuses EU member states of using unfair trade practices . In his view , they include value added taxes and unjustified lawsuits against American companies . Trump adds that the EU is running a huge trade surplus with America and that negotiations to reduce this are going nowhere . US and European stocks have tumbled in response to his remarks . In a statement from the Oval Office , Trump renewed his pressure on European companies to move production to the US . I 'm not looking for a deal . , we 've set the deal . It 's at 50 % . But again , there is no tariff if they build their plant here . Now , if somebody comes in and wants to build a plan here , I can talk to them about a little bit of a delay . For more , we 're now joined by Abigail Hall . She 's an associate professor in economics at the University of Tampa . Good to have you with us . , now , what exactly does Donald Trump hope to achieve here ? So , at this point , all I can really say is here we go again . , it 's very clear that the president is interested in attempting to move production back to the United States or move production to the United States if it were not here previously . It 's obvious that whatever is being offered or how these negotiations are going so far between the United States and the European Union are not acceptable or not pleasing to the president . , the president has made clear that he has issue with various European trading practices , but clearly does not the imbalance that he sees in terms of trade between the United States and the EU . And this has n't gone down well in Europe . But if this becomes a full trade war , which side has more to lose ? Honestly , the answer to that question is no one wins in a trade war . And the biggest losers are going to be European companies , US - based companies , US consumers , as well as EU consumers . If you look at the total of goods , services , and investment , the EU and the US economy are the largest trading partners . They 're the most intimately connected out of any trading partner partnership that we see globally . And everyone loses . You 're talking about major increases in cost , major potential economic declines in Europe and in the United States . Now , we 've heard a lot from Donald Trump complaining about America 's trade deficits , in this case with Europe , that the US buys more from them than they buy from America . Is this a problem that needs fixing ? This is an excellent question because it really highlights how many people fundamentally misunderstand trade deficits . Trade deficits are not inherently bad . So , I 'll give you an example . Most people watching this program are probably in a perpetual trade deficit with their grocery store . Chances are they 've likely bought item after item and spent thousands of dollars year after year at their local grocery stores . But those grocery stores likely have yet to purchase anything from their customers . And this is not an inappropriate example to levy in the international context . What this idea of an imbalance of trade , the US importing more goods than it exports fundally fundamentally misses is that when European companies ship goods to the US and when the US ships goods to Europe , it 's not just the goods that are being exchanged . There 's also investment . And so these bilateral trade balances that may appear uneven is not really something that we need to be worried about balancing . We we 've seen the shock as this news has hit the markets . Can this volatility force Donald Trump to change course on this ? It 's difficult to say at this point . It 's obvious that markets are responding very strongly to the president 's pronouncements on trade . whether they are executive orders or in the case of this threats that are made over social media or in press discussions within the Oval Office . and so certainly there is the potential for markets to recover but as we 've seen today stocks are down in the United States , they 're down across Europe and particularly for companies who have strong footholds in both the European Union and the United States . So companies L'Oreal , BMW and Deutsche Bank all saw significant stock reductions today . Abigol , thank you very much for your insights on that . It 's Gohal , associate professor in economics at the University of Tampa . Pleasure as always ."
https://youtu.be/aGFppdUzV7o?si=MF4I9v-Jw1Mcf_Cb,Woman arrested after knife attack injures 12 at Hamburg train station ,DW news,aGFppdUzV7o,"We begin with a mass stabbing here in Germany . At least 12 people were injured in the incident at Hamburg 's central train station . Six rush hour commuters were critically wounded . A 39year - old woman has been arrested . [ Music ] We can get more from our political correspondent , Simon Young . , Simon . What happened ? , Phil , this attack took place , as you 've said , at Hamburg 's main rail station . That 's in the center of the city , and it 's a key transport hub . where , incidentally , the carrying of weapons , including knives , is banned . Now , this happened around 6:00 this evening . it appears to have been an indiscriminate attack that took place on a platform . now there have been reports of up to 17 people injured with up to six in critical condition as you mentioned . but police in Hamburg have been saying this evening that the precise number of injured is not yet finally determined , but certainly that several people have been critically injured and obviously are receiving medical care in hospital . Chancellor Mets 's office has said tonight that the chancellor 's appalled by this attack and that his thoughts are with the victims and their families . What 's being said about the suspect ? , police have said that they have arrested a 39year - old woman at the scene who appeared not to offer much resistance . they say that it appears that the suspect acted alone . an intense investigation of course is now underway to discover any motive . but the police spokesman did say that they are focusing or looking into the possibility that she was psychologically disturbed . they say that at this time there 's no indication of a political motive behind this attack . , thank Simon DW correspondent Simon Young ."
